"cluster","gene","present","mean_log_expression","fraction_expressing"
"0","CD3D",TRUE,2.07552322588846,0.848684210526316
"0","CD3E",TRUE,1.66316415968853,0.736842105263158
"0","TRAC",FALSE,0,0
"0","IL7R",TRUE,1.24608882757346,0.574013157894737
"0","LTB",TRUE,2.56242475416897,0.893092105263158
"0","MS4A1",TRUE,0.0689377390756841,0.0394736842105263
"0","CD79A",TRUE,0.0645566495667071,0.0361842105263158
"0","CD79B",TRUE,0.143416123388896,0.0838815789473684
"0","CD74",TRUE,1.42846183190436,0.672697368421053
"0","GNLY",TRUE,0.151471931290246,0.0871710526315789
"0","KLRD1",TRUE,0.0170775714633404,0.00986842105263158
"0","NKG7",TRUE,0.21314252065819,0.110197368421053
"0","PRF1",TRUE,0.0896621953404645,0.0509868421052632
"0","LYZ",TRUE,0.905650941694409,0.473684210526316
"0","S100A8",TRUE,0.159906238463345,0.0921052631578947
"0","S100A9",TRUE,0.232676980477904,0.133223684210526
"0","CD14",TRUE,0.0326207752235211,0.0180921052631579
"0","FCN1",TRUE,0.175258759681234,0.100328947368421
"0","FCGR3A",TRUE,0.0596166962529643,0.0328947368421053
"0","MS4A7",TRUE,0.0305387862736334,0.0180921052631579
"0","LST1",TRUE,0.235545034793034,0.131578947368421
"0","LILRB1",TRUE,0.0164708790775456,0.00986842105263158
"0","FCER1A",TRUE,0.0311647358212955,0.0164473684210526
"0","CD1C",TRUE,0.00748272942817857,0.00493421052631579
"0","CLEC10A",TRUE,0,0
"0","PPBP",TRUE,0.0219044106172057,0.0131578947368421
"0","PF4",TRUE,0.0055197901088678,0.00328947368421053
"0","GNG11",TRUE,0,0
"1","CD3D",TRUE,2.17414405130232,0.900990099009901
"1","CD3E",TRUE,1.78294552624244,0.801980198019802
"1","TRAC",FALSE,0,0
"1","IL7R",TRUE,1.75444817751741,0.768316831683168
"1","LTB",TRUE,3.21507235909491,0.978217821782178
"1","MS4A1",TRUE,0.081580585911033,0.0495049504950495
"1","CD79A",TRUE,0.0834678966778447,0.0514851485148515
"1","CD79B",TRUE,0.185947017579873,0.112871287128713
"1","CD74",TRUE,1.71018118840426,0.798019801980198
"1","GNLY",TRUE,0.196633375915699,0.118811881188119
"1","KLRD1",TRUE,0.0123319665777472,0.00792079207920792
"1","NKG7",TRUE,0.283027173753316,0.16039603960396
"1","PRF1",TRUE,0.136444334226837,0.0792079207920792
"1","LYZ",TRUE,0.975250081374283,0.518811881188119
"1","S100A8",TRUE,0.161851084524473,0.0950495049504951
"1","S100A9",TRUE,0.318302350101244,0.192079207920792
"1","CD14",TRUE,0.0289333826390797,0.0178217821782178
"1","FCN1",TRUE,0.17571032323028,0.104950495049505
"1","FCGR3A",TRUE,0.0943415641852367,0.0574257425742574
"1","MS4A7",TRUE,0.0312291080952038,0.0198019801980198
"1","LST1",TRUE,0.313425572486125,0.184158415841584
"1","LILRB1",TRUE,0.0150673612952886,0.0099009900990099
"1","FCER1A",TRUE,0.0100568613354679,0.00594059405940594
"1","CD1C",TRUE,0.00656499304181422,0.00396039603960396
"1","CLEC10A",TRUE,0.00686351926232982,0.00396039603960396
"1","PPBP",TRUE,0.0231678801995718,0.0138613861386139
"1","PF4",TRUE,0.00354145325247857,0.00198019801980198
"1","GNG11",TRUE,0.00595820286481705,0.00396039603960396
"2","CD3D",TRUE,0.127058093364931,0.0755939524838013
"2","CD3E",TRUE,0.140311271754397,0.0842332613390929
"2","TRAC",FALSE,0,0
"2","IL7R",TRUE,0.172391353796829,0.105831533477322
"2","LTB",TRUE,0.399071183579241,0.23110151187905
"2","MS4A1",TRUE,0.0947942681025729,0.060475161987041
"2","CD79A",TRUE,0.0695108235344726,0.0431965442764579
"2","CD79B",TRUE,0.131504657896905,0.08207343412527
"2","CD74",TRUE,3.31517744588535,0.939524838012959
"2","GNLY",TRUE,0.211397580208823,0.120950323974082
"2","KLRD1",TRUE,0.0248185489057961,0.0151187904967603
"2","NKG7",TRUE,0.325128337437411,0.187904967602592
"2","PRF1",TRUE,0.0554939412499735,0.0345572354211663
"2","LYZ",TRUE,5.08842631449485,1
"2","S100A8",TRUE,3.89850677639742,0.974082073434125
"2","S100A9",TRUE,4.54513252182099,0.995680345572354
"2","CD14",TRUE,1.51759005680823,0.667386609071274
"2","FCN1",TRUE,2.9924715502848,0.950323974082073
"2","FCGR3A",TRUE,0.21201562027941,0.123110151187905
"2","MS4A7",TRUE,0.458909619349793,0.257019438444924
"2","LST1",TRUE,2.88717104905326,0.958963282937365
"2","LILRB1",TRUE,0.146565737130113,0.0863930885529158
"2","FCER1A",TRUE,0.0459253380485128,0.0215982721382289
"2","CD1C",TRUE,0.0383237559256679,0.0259179265658747
"2","CLEC10A",TRUE,0.138031408344856,0.0799136069114471
"2","PPBP",TRUE,0.107697445113047,0.0561555075593952
"2","PF4",TRUE,0.0358500067703204,0.0172786177105832
"2","GNG11",TRUE,0.031494329652958,0.0172786177105832
"3","CD3D",TRUE,0.0708409646127089,0.0391566265060241
"3","CD3E",TRUE,0.172212219707934,0.0963855421686747
"3","TRAC",FALSE,0,0
"3","IL7R",TRUE,0.185593631317753,0.0993975903614458
"3","LTB",TRUE,3.01870455061923,0.933734939759036
"3","MS4A1",TRUE,2.15700644123711,0.855421686746988
"3","CD79A",TRUE,2.81527868438371,0.936746987951807
"3","CD79B",TRUE,2.65447698086666,0.918674698795181
"3","CD74",TRUE,4.96041234904096,1
"3","GNLY",TRUE,0.138685341428457,0.072289156626506
"3","KLRD1",TRUE,0,0
"3","NKG7",TRUE,0.155400458561711,0.0783132530120482
"3","PRF1",TRUE,0.0527333110375155,0.0301204819277108
"3","LYZ",TRUE,0.868022890594617,0.418674698795181
"3","S100A8",TRUE,0.141312906576339,0.0783132530120482
"3","S100A9",TRUE,0.251199292492427,0.126506024096386
"3","CD14",TRUE,0.00500916111540468,0.00301204819277108
"3","FCN1",TRUE,0.151693726453951,0.0753012048192771
"3","FCGR3A",TRUE,0.0592723270715172,0.036144578313253
"3","MS4A7",TRUE,0.102996778288703,0.0542168674698795
"3","LST1",TRUE,0.245714364766434,0.129518072289157
"3","LILRB1",TRUE,0.10201643011239,0.0512048192771084
"3","FCER1A",TRUE,0.00429484614192698,0.00301204819277108
"3","CD1C",TRUE,0.178370981203418,0.0903614457831325
"3","CLEC10A",TRUE,0,0
"3","PPBP",TRUE,0.0296377910168993,0.0150602409638554
"3","PF4",TRUE,0.0238277872327479,0.0150602409638554
