"term","overlap","set_size","query_size","universe_size","p_value","overlap_genes","adjusted_p","cluster","display"
"Eukaryotic Translation Elongation R-HSA-156842",67,82,195,2281,7.47295860010495e-62,"RPS3A;RPL31;RPS25;RPL9;RPS12;RPS13;RPS27;RPS29;RPS27A;EEF1G;RPS6;RPS20;RPL22;RPS28;RPL21;RPS15A;RPL30;RPL32;RPS14;RPL3;RPS3;RPLP2;RPL5;RPS23;RPL36A;RPSA;RPL35A;RPS16;RPL7;EEF1B2;RPL36;RPS5;RPL10A;RPL34;RPL38;RPL27A;EEF1A1;RPS10;RPS4X;RPS4Y1;RPS21;RPL23A;RPL4;RPLP0;RPL18;RPL13A;RPL11;RPL14;RPL37;RPS15;RPS8;RPL35;RPL19;RPL27;RPL37A;RPS19;RPS2;RPL23;RPL7A;RPL18A;RPLP1;RPL15;RPL12;EEF1D;RPL6;RPS7;RPL29",6.43421735469036e-59,"0","C0: Eukaryotic Translation Elongation R-HSA-156842"
"Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956",64,79,195,2281,1.96387849374806e-58,"RPS3A;RPL31;RPS25;RPL9;RPS12;RPS13;RPS27;RPS29;RPS27A;RPS6;RPS20;RPL22;RPS28;RPL21;RPS15A;RPL30;RPL32;RPS14;RPL3;RPS3;RPLP2;RPL5;RPS23;RPL36A;RPSA;RPL35A;RPS16;RPL7;RPL36;RPS5;RPL10A;RPL34;RPL38;RPL27A;RPS10;RPS4X;RPS4Y1;RPS21;RPL23A;RPL4;RPLP0;RPL18;RPL13A;RPL11;RPL14;RPL37;RPS15;RPS8;RPL35;RPL19;PABPC1;RPL27;RPL37A;RPS19;RPS2;RPL23;RPL7A;RPL18A;RPLP1;RPL15;RPL12;RPL6;RPS7;RPL29",5.63633127705693e-56,"0","C0: Nonsense Mediated Decay (NMD) Independent Of Exon Junction Compl"
"Peptide Chain Elongation R-HSA-156902",64,79,195,2281,1.96387849374806e-58,"RPS3A;RPL31;RPS25;RPL9;RPS12;RPS13;RPS27;RPS29;RPS27A;RPS6;RPS20;RPL22;RPS28;RPL21;RPS15A;RPL30;RPL32;RPS14;RPL3;RPS3;RPLP2;RPL5;RPS23;RPL36A;RPSA;RPL35A;RPS16;RPL7;RPL36;RPS5;RPL10A;RPL34;RPL38;RPL27A;EEF1A1;RPS10;RPS4X;RPS4Y1;RPS21;RPL23A;RPL4;RPLP0;RPL18;RPL13A;RPL11;RPL14;RPL37;RPS15;RPS8;RPL35;RPL19;RPL27;RPL37A;RPS19;RPS2;RPL23;RPL7A;RPL18A;RPLP1;RPL15;RPL12;RPL6;RPS7;RPL29",5.63633127705693e-56,"0","C0: Peptide Chain Elongation R-HSA-156902"
"Selenocysteine Synthesis R-HSA-2408557",63,77,195,2281,5.42794765216869e-58,"RPS3A;RPL31;RPS25;RPL9;RPS12;RPS13;RPS27;RPS29;RPS27A;RPS6;RPS20;RPL22;RPS28;RPL21;RPS15A;RPL30;RPL32;RPS14;RPL3;RPS3;RPLP2;RPL5;RPS23;RPL36A;RPSA;RPL35A;RPS16;RPL7;RPL36;RPS5;RPL10A;RPL34;RPL38;RPL27A;RPS10;RPS4X;RPS4Y1;RPS21;RPL23A;RPL4;RPLP0;RPL18;RPL13A;RPL11;RPL14;RPL37;RPS15;RPS8;RPL35;RPL19;RPL27;RPL37A;RPS19;RPS2;RPL23;RPL7A;RPL18A;RPLP1;RPL15;RPL12;RPL6;RPS7;RPL29",1.16836573212931e-55,"0","C0: Selenocysteine Synthesis R-HSA-2408557"
"Eukaryotic Translation Termination R-HSA-72764",63,78,195,2281,2.65618302152724e-57,"RPS3A;RPL31;RPS25;RPL9;RPS12;RPS13;RPS27;RPS29;RPS27A;RPS6;RPS20;RPL22;RPS28;RPL21;RPS15A;RPL30;RPL32;RPS14;RPL3;RPS3;RPLP2;RPL5;RPS23;RPL36A;RPSA;RPL35A;RPS16;RPL7;RPL36;RPS5;RPL10A;RPL34;RPL38;RPL27A;RPS10;RPS4X;RPS4Y1;RPS21;RPL23A;RPL4;RPLP0;RPL18;RPL13A;RPL11;RPL14;RPL37;RPS15;RPS8;RPL35;RPL19;RPL27;RPL37A;RPS19;RPS2;RPL23;RPL7A;RPL18A;RPLP1;RPL15;RPL12;RPL6;RPS7;RPL29",3.26710511647851e-55,"0","C0: Eukaryotic Translation Termination R-HSA-72764"
"Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807",11,25,200,2417,1.50968632827397e-06,"GATA3;ITGB1;BATF;RORA;SOCS3;ANXA1;HSPA8;FOS;VIM;IL2RG;MYC",0.00132097553723972,"1","C1: Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807"
"Cytokine Signaling In Immune System R-HSA-1280215",34,202,200,2417,2.41625624664344e-05,"TNFRSF4;TNFRSF25;TNFRSF18;CD40LG;IL7R;IL32;LTB;GATA3;ITGB1;CISH;BCL11B;BATF;RORA;FLT3LG;CDKN1B;LCK;CD27;SOCS3;BIRC3;JUN;HNRNPF;ANXA1;IL27RA;IFITM1;SOD1;HSPA8;SKP1;RPLP0;FOS;VIM;IL2RG;MYC;RPS27A;ISG20",0.0105711210790651,"1","C1: Cytokine Signaling In Immune System R-HSA-1280215"
"Neutrophil Degranulation R-HSA-6798695",50,206,200,2483,4.39964590536278e-14,"RNASE2;FOLR3;S100A12;S100A8;S100A9;MGST1;SIRPA;QPCT;LYZ;BST1;RETN;CD36;FCN1;CD33;FPR1;CDA;PTAFR;RAB31;GRN;CLEC12A;FCGR2A;MNDA;TYROBP;OSCAR;CST3;PYGL;LGALS3;RAB3D;FGL2;CFP;C5AR1;GSTP1;CD68;PLAUR;SLC11A1;CTSB;CTSH;CREG1;ITGAM;FTL;CTSZ;NPC2;SERPINA1;CYBB;CTSS;CPPED1;FTH1;PDXK;PRKCD;PYCARD",3.92888379348897e-11,"2","C2: Neutrophil Degranulation R-HSA-6798695"
"Innate Immune System R-HSA-168249",65,343,200,2483,9.65334860588249e-13,"CLEC4E;RNASE2;FOLR3;S100A12;S100A8;S100A9;FCGR1A;MGST1;SIRPA;QPCT;LYZ;BST1;RETN;CD36;FCN1;CD33;FPR1;CDA;PTAFR;IL1B;CLEC4A;RAB31;TREM1;GRN;CLEC12A;NCF2;FCGR2A;MNDA;TYROBP;OSCAR;CST3;NLRP3;PYGL;CD300E;LGALS3;CLEC7A;RAB3D;MYO9B;FGL2;CFP;C5AR1;GSTP1;CD68;PLAUR;SLC11A1;CTSB;CTSH;CREG1;ITGAM;FTL;CTSZ;NPC2;SERPINA1;CYBB;CTSS;DUSP6;RNASE6;CPPED1;FTH1;NCF4;ATP6V0B;PDXK;PRKCD;PYCARD;LY86",4.31022015252653e-10,"2","C2: Innate Immune System R-HSA-168249"
"Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933",13,43,200,2483,1.71225393987165e-05,"FCGR1A;CD33;TREM1;TYROBP;OSCAR;CD1D;CD300E;LILRA5;LILRB4;CD300LF;LILRA2;CD300C;PILRA",0.00444374427751288,"2","C2: Immunoregulatory Interactions Between A Lymphoid And A non-Lymph"
