"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
3.00809759918958e-26,3.26688273802809,0.105,0.014,4.06754957362415e-22,"RP11-291B21.2","0"
5.68547388506252e-37,2.93537970603137,0.163,0.025,7.68789778738154e-33,"LINC00176","0"
1.07192930726295e-45,2.75918760207326,0.212,0.036,1.44946280928097e-41,"FHIT","0"
6.18728476796736e-103,2.64323154969534,0.482,0.099,8.36644646324546e-99,"CCR7","0"
3.04650465618011e-22,2.62701268748679,0.127,0.028,4.11948359608675e-18,"SCGB3A1","0"
2.78761579011463e-32,2.43033787716638,0.255,0.079,3.769414071393e-28,"LDLRAP1","0"
5.78356721158737e-31,2.40919001116827,0.209,0.056,7.82053958350844e-27,"TRABD2A","0"
8.40139224210326e-24,2.40090112401852,0.132,0.028,1.1360362589772e-19,"RP11-664D1.1","0"
6.61982208786125e-32,2.28248615306889,0.166,0.033,8.95132342720599e-28,"NELL2","0"
3.45866831113617e-21,2.26996023561201,0.125,0.028,4.67681129031834e-17,"C14orf64","0"
5.32039945193895e-69,3.91647152312882,0.216,0.016,7.19424413891185e-65,"TNFRSF4","1"
2.32409015527206e-21,2.49980751779885,0.113,0.021,3.14263470795888e-17,"FUT7","1"
3.20690240783365e-21,2.41623043386213,0.152,0.039,4.33637343587266e-17,"TNFRSF25","1"
9.38625651398009e-24,2.40595468307954,0.105,0.015,1.26920960582039e-19,"TNFRSF18","1"
5.6356487256276e-17,2.35458793977812,0.143,0.041,7.62052420679364e-13,"PASK","1"
4.79509245161251e-67,2.35112870006178,0.414,0.096,6.48392401307044e-63,"AQP3","1"
5.30972308929675e-26,2.28307895684278,0.154,0.032,7.17980756134707e-22,"CRIP2","1"
1.99272147822245e-15,2.21200687755604,0.119,0.032,2.6945579828524e-11,"GPR171","1"
1.67611381292622e-44,2.16187827176925,0.271,0.058,2.26644109783884e-40,"CD40LG","1"
1.48424015521838e-19,2.08413479496695,0.113,0.023,2.0069895378863e-15,"CMTM8","1"
7.72877320742655e-72,8.12844432221649,0.153,0,1.04508471310822e-67,"CLEC4E","2"
4.06782275306714e-52,7.91124629761168,0.114,0.001,5.50050992669738e-48,"C19orf59","2"
3.63046567010603e-54,7.8758728707522,0.119,0.001,4.90911567911738e-50,"RNASE2","2"
3.31036878746605e-134,7.51472789140947,0.294,0.003,4.47628067441159e-130,"FOLR3","2"
3.14408013051459e-115,6.70972415869736,0.274,0.007,4.25142515248183e-111,"S100A12","2"
0,6.65612213342791,0.974,0.119,0,"S100A8","2"
0,6.20190287778487,0.996,0.213,0,"S100A9","2"
3.27603569150175e-96,6.16701293282455,0.227,0.005,4.42985546204867e-92,"FCGR1A","2"
8.35807167894001e-285,5.96524073361916,0.667,0.027,1.13017845242627e-280,"CD14","2"
3.35662719433409e-56,5.83258355693873,0.136,0.003,4.53883129217856e-52,"MGST1","2"
6.12439539424183e-62,8.44839507699294,0.127,0,8.28140745209381e-58,"AC079767.4","3"
1.75867195123411e-83,8.084831898182,0.229,0.01,2.37807621245876e-79,"IGLL5","3"
1.78211795368624e-261,7.45028422447194,0.554,0.008,2.40977989697454e-257,"LINC00926","3"
2.8574694201936e-235,7.24544335457775,0.494,0.005,3.86387014998579e-231,"VPREB3","3"
0,7.04858401521612,0.937,0.039,0,"CD79A","3"
1.44058211346566e-131,6.89856339068617,0.295,0.005,1.94795513382827e-127,"FCRLA","3"
8.85864757611792e-264,6.78860243339578,0.62,0.02,1.19786632524266e-259,"TCL1A","3"
1.76563506335165e-168,6.63651787603265,0.383,0.008,2.3874917326641e-164,"FCER2","3"
5.87176530507238e-99,6.40688762439317,0.226,0.004,7.93980104551888e-95,"KIAA0125","3"
1.56665515997777e-134,6.29369346779702,0.304,0.005,2.11843110732194e-130,"TSPAN13","3"
9.25923306354251e-185,4.93874192442614,0.59,0.045,1.25203349485222e-180,"GZMK","4"
4.11726861036968e-52,4.17186713549179,0.172,0.012,5.56737061494189e-48,"LAG3","4"
2.23688934973892e-85,3.82380023121156,0.414,0.06,3.02472177871697e-81,"GZMH","4"
1.57164780799927e-99,3.3594562943448,0.479,0.069,2.12518216597662e-95,"CD8A","4"
2.36487095483045e-197,3.30561023251235,0.972,0.225,3.19777850512174e-193,"CCL5","4"
5.67825990530555e-95,3.11830285775082,0.459,0.066,7.67814304395416e-91,"KLRG1","4"
9.10562313529074e-16,3.06774304510469,0.155,0.044,1.23126236035401e-11,"PRR5","4"
7.00803373898078e-27,3.03750404341677,0.145,0.021,9.47626322184981e-23,"FCRL6","4"
1.3159547474348e-18,2.92247859866156,0.1,0.015,1.77943400948133e-14,"EOMES","4"
6.65794801727181e-18,2.67615520773135,0.124,0.025,9.00287730895495e-14,"ADRB2","4"
6.50424584733039e-51,8.70644351298426,0.101,0,8.79504123476015e-47,"LYPD2","5"
1.99774396384337e-74,7.59384580478024,0.157,0.001,2.701349387909e-70,"VMO1","5"
5.02605443931511e-55,6.50806331835787,0.151,0.004,6.7962308128419e-51,"C1QA","5"
8.5559955824945e-59,5.86207120281393,0.151,0.003,1.15694172266491e-54,"ICAM4","5"
4.44986483837238e-158,5.81746530912423,0.365,0.005,6.01710723444713e-154,"CKB","5"
5.67007108220631e-202,5.41607613158362,0.491,0.009,7.66707011735938e-198,"CDKN1C","5"
